0,0
1238,1513
1903,674
1616,556
1499,499
1422,449
1355,391
1304,328
1285,297
1273,265
1262,188
1266,114
1276,51
1318,-110
1525,-778
1826,-1717
1826,-1717
-1646,-1558
-1646,-1558
-1756,-1263
-1810,-1089
-1866,-827
-1893,-606
-1903,-383
-1899,-158
-1882,66
-1854,291
-1817,514
-1772,736
-1661,1230
-1627,1453
-1589,1717
-1589,1717
-1356,1632
-1206,1566
-1067,1491
-790,1322
-636,1229
-516,1167
-393,1113
-266,1065
-137,1024
-7,991
124,966
257,948
418,938
530,942
608,957
685,985
762,1027
824,1075
915,1157
1047,1295
1238,1513
